team,tackles_won,interceptions,defensive_actions
Argentina,93,82,175
Spain,88,64,152
France,77,65,142
Paraguay,88,53,141
England,77,51,128
Norway,67,44,111
Switzerland,52,52,104
United States,42,60,102
Morocco,61,40,101
Egypt,54,44,98
Belgium,47,50,97
Cabo Verde,45,52,97
Brazil,46,48,94
Côte d'Ivoire,48,40,88
Canada,51,36,87
Ecuador,49,38,87
South Africa,38,47,85
Germany,53,25,78
Algeria,44,30,74
Uzbekistan,39,33,72
