Players,Clubs,Goals,6 yrds,18 yrds,18 yrds plus,Unknown yards
Connor Metcalfe,Australia,1,-,-,1,-
Kevin Pina,Cape Verde,1,-,-,1,-
Petar Sucic,Croatia,1,-,-,1,-
Agustin Canobbio,Uruguay,1,-,1,-,-
Nikola Vlasic,Croatia,1,-,1,-,-
Helio Varela,Cape Verde,1,-,1,-,-
Marcel Sabitzer,Austria,1,-,1,-,-
Yasser Ibrahim,Egypt,1,-,1,-,-
Sasa Kalajdzic,Austria,1,-,1,-,-
Mauricio,Paraguay,1,-,1,-,-
Nestory Irankunda,Australia,1,-,1,-,-
John McGinn,Scotland,1,-,1,-,-
Eldor Shomurodov,Uzbekistan,1,-,1,-,-
Declan Rice,England,1,-,-,1,-
Stephen Eustaquio,Canada,1,-,-,1,-
Livano Comenencia,Curacao,1,-,1,-,-
Casemiro,Brazil,1,1,-,-,-
Amine Gouiri,Algeria,1,1,-,-,-
Julio Enciso,Paraguay,1,-,1,-,-
Abdulelah Al-Amri,Saudi Arabia,1,1,-,-,-
Antonio Nusa,Norway,1,-,1,-,-
Hyeon-gyu Oh,South Korea,1,1,-,-,-
Habib Diarra,Senegal,1,1,-,-,-
Ivan Perisic,Croatia,1,-,1,-,-
Felix Nmecha,Germany,1,-,1,-,-
Nuno Mendes,Portugal,1,-,-,1,-
Deroy Duarte,Cape Verde,1,-,1,-,-
Goncalo Ramos,Portugal,1,-,1,-,-
Rafael Leao,Portugal,1,-,1,-,-
Ante Budimir,Croatia,1,1,-,-,-
Lisandro Martinez,Argentina,1,-,1,-,-
Mateo Chavez,Mexico,1,-,1,-,-
Jhon Arias,Colombia,1,-,1,-,-
Mattias Svanberg,Sweden,1,-,1,-,-
Neymar,Brazil,1,-,1,-,-
Thapelo Maseko,South Africa,1,-,1,-,-
Hans Vanaken,Belgium,1,-,-,1,-
Alvaro Fidalgo,Mexico,1,-,1,-,-
Andreas Schjelderup,Norway,1,-,1,-,-
Cristian Romero,Argentina,1,-,1,-,-
Julian Alvarez,Argentina,1,-,-,1,-
Fabian,Spain,1,-,1,-,-
Jovo Lukic,Bosnia and Herzegovina,1,1,-,-,-
Alexis Mac Allister,Argentina,1,1,-,-,-
Nizar Al-Rashdan,Jordan,1,-,1,-,-
Anthony Gordon,England,1,1,-,-,-
Nadhir Benbouali,Algeria,1,-,1,-,-
Ezri Konsa,England,1,-,1,-,-
Marcus Pedersen,Norway,1,-,1,-,-
Ferran Torres,Spain,1,-,1,-,-
