Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Mexico (H),3,3,0,0,6,0,+6,9,Advance to knockout stage
2,South Africa,3,1,1,1,2,3,−1,4,Advance to knockout stage
3,South Korea,3,1,0,2,2,3,−1,3,
4,Czech Republic,3,0,1,2,2,6,−4,1,
