Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 17, 2026",,,
Portugal,1–1,DR Congo,"NRG Stadium, Houston"
Uzbekistan,1–3,Colombia,"Estadio Azteca, Mexico City"
"June 23, 2026",,,
Portugal,5–0,Uzbekistan,"NRG Stadium, Houston"
Colombia,1–0,DR Congo,"Estadio Akron, Zapopan"
"June 27, 2026",,,
Colombia,0–0,Portugal,"Hard Rock Stadium, Miami Gardens"
DR Congo,3–1,Uzbekistan,"Mercedes-Benz Stadium, Atlanta"
