Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 15, 2026",,,
Spain,0–0,Cape Verde,"Mercedes-Benz Stadium, Atlanta"
Saudi Arabia,1–1,Uruguay,"Hard Rock Stadium, Miami Gardens"
"June 21, 2026",,,
Spain,4–0,Saudi Arabia,"Mercedes-Benz Stadium, Atlanta"
Uruguay,2–2,Cape Verde,"Hard Rock Stadium, Miami Gardens"
"June 26, 2026",,,
Cape Verde,0–0,Saudi Arabia,"NRG Stadium, Houston"
Uruguay,0–1,Spain,"Estadio Akron, Zapopan"
