Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,France,3,3,0,0,10,2,+8,9,Advance to knockout stage
2,Norway,3,2,0,1,8,7,+1,6,Advance to knockout stage
3,Senegal,3,1,0,2,8,6,+2,3,Advance to knockout stage
4,Iraq,3,0,0,3,1,12,−11,0,
