Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 16, 2026",,,
Argentina,3–0,Algeria,"Arrowhead Stadium, Kansas City"
Austria,3–1,Jordan,"Levi's Stadium, Santa Clara"
"June 22, 2026",,,
Argentina,2–0,Austria,"AT&T Stadium, Arlington"
Jordan,1–2,Algeria,"Levi's Stadium, Santa Clara"
"June 27, 2026",,,
Algeria,3–3,Austria,"Arrowhead Stadium, Kansas City"
Jordan,1–3,Argentina,"AT&T Stadium, Arlington"
