Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 12, 2026",,,
Canada,1–1,Bosnia and Herzegovina,"BMO Field, Toronto"
"June 13, 2026",,,
Qatar,1–1,Switzerland,"Levi's Stadium, Santa Clara"
"June 18, 2026",,,
Switzerland,4–1,Bosnia and Herzegovina,"SoFi Stadium, Inglewood"
Canada,6–0,Qatar,"BC Place, Vancouver"
"June 24, 2026",,,
Switzerland,2–1,Canada,"BC Place, Vancouver"
Bosnia and Herzegovina,3–1,Qatar,"Lumen Field, Seattle"
