Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 12, 2026",,,
United States,4–1,Paraguay,"SoFi Stadium, Inglewood"
"June 13, 2026",,,
Australia,2–0,Turkey,"BC Place, Vancouver"
"June 19, 2026",,,
United States,2–0,Australia,"Lumen Field, Seattle"
Turkey,0–1,Paraguay,"Levi's Stadium, Santa Clara"
"June 25, 2026",,,
Turkey,3–2,United States,"SoFi Stadium, Inglewood"
Paraguay,0–0,Australia,"Levi's Stadium, Santa Clara"
