Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Spain,3,2,1,0,5,0,+5,7,Advance to knockout stage
2,Cape Verde,3,0,3,0,2,2,0,3,Advance to knockout stage
3,Uruguay,3,0,2,1,3,4,−1,2[a],
4,Saudi Arabia,3,0,2,1,1,5,−4,2[a],
