Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 17, 2026",,,
England,4–2,Croatia,"AT&T Stadium, Arlington"
Ghana,1–0,Panama,"BMO Field, Toronto"
"June 23, 2026",,,
England,0–0,Ghana,"Gillette Stadium, Foxborough"
Panama,0–1,Croatia,"BMO Field, Toronto"
"June 27, 2026",,,
Panama,0–2,England,"MetLife Stadium, East Rutherford"
Croatia,2–1,Ghana,"Lincoln Financial Field, Philadelphia"
