Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Argentina,3,3,0,0,8,1,+7,9,Advance to knockout stage
2,Austria,3,1,1,1,6,6,0,4[a],Advance to knockout stage
3,Algeria,3,1,1,1,5,7,−2,4[a],Advance to knockout stage
4,Jordan,3,0,0,3,3,8,−5,0,
