Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Switzerland,3,2,1,0,7,3,+4,7,Advance to knockout stage
2,Canada (H),3,1,1,1,8,3,+5,4[a],Advance to knockout stage
3,Bosnia and Herzegovina,3,1,1,1,5,6,−1,4[a],Advance to knockout stage
4,Qatar,3,0,1,2,2,10,−8,1,
