Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Belgium,3,1,2,0,6,2,+4,5[a],Advance to knockout stage
2,Egypt,3,1,2,0,5,3,+2,5[a],Advance to knockout stage
3,Iran,3,0,3,0,3,3,0,3,
4,New Zealand,3,0,1,2,4,10,−6,1,
