Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 13, 2026",,,
Brazil,1–1,Morocco,"MetLife Stadium, East Rutherford"
Haiti,0–1,Scotland,"Gillette Stadium, Foxborough"
"June 19, 2026",,,
Scotland,0–1,Morocco,"Gillette Stadium, Foxborough"
Brazil,3–0,Haiti,"Lincoln Financial Field, Philadelphia"
"June 24, 2026",,,
Scotland,0–3,Brazil,"Hard Rock Stadium, Miami Gardens"
Morocco,4–2,Haiti,"Mercedes-Benz Stadium, Atlanta"
