Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 16, 2026",,,
France,3–1,Senegal,"MetLife Stadium, East Rutherford"
Iraq,1–4,Norway,"Gillette Stadium, Foxborough"
"June 22, 2026",,,
France,3–0,Iraq,"Lincoln Financial Field, Philadelphia"
Norway,3–2,Senegal,"MetLife Stadium, East Rutherford"
"June 26, 2026",,,
Norway,1–4,France,"Gillette Stadium, Foxborough"
Senegal,5–0,Iraq,"BMO Field, Toronto"
