Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Brazil,3,2,1,0,7,1,+6,7[a],Advance to knockout stage
2,Morocco,3,2,1,0,6,3,+3,7[a],Advance to knockout stage
3,Scotland,3,1,0,2,1,4,−3,3,
4,Haiti,3,0,0,3,2,8,−6,0,
