Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 11, 2026",,,
Mexico,2–0,South Africa,"Estadio Azteca, Mexico City"
South Korea,2–1,Czech Republic,"Estadio Akron, Zapopan"
"June 18, 2026",,,
Czech Republic,1–1,South Africa,"Mercedes-Benz Stadium, Atlanta"
Mexico,1–0,South Korea,"Estadio Akron, Zapopan"
"June 24, 2026",,,
Czech Republic,0–3,Mexico,"Estadio Azteca, Mexico City"
South Africa,1–0,South Korea,"Estadio BBVA, Guadalupe"
