Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,United States (H),3,2,0,1,8,4,+4,6,Advance to knockout stage
2,Australia,3,1,1,1,2,2,0,4[a],Advance to knockout stage
3,Paraguay,3,1,1,1,2,4,−2,4[a],Advance to knockout stage
4,Turkey,3,1,0,2,3,5,−2,3,
