Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 15, 2026",,,
Belgium,1–1,Egypt,"Lumen Field, Seattle"
Iran,2–2,New Zealand,"SoFi Stadium, Inglewood"
"June 21, 2026",,,
Belgium,0–0,Iran,"SoFi Stadium, Inglewood"
New Zealand,1–3,Egypt,"BC Place, Vancouver"
"June 26, 2026",,,
Egypt,1–1,Iran,"Lumen Field, Seattle"
New Zealand,1–5,Belgium,"BC Place, Vancouver"
