Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"June 14, 2026",,,
Netherlands,2–2,Japan,"AT&T Stadium, Arlington"
Sweden,5–1,Tunisia,"Estadio BBVA, Guadalupe"
"June 20, 2026",,,
Netherlands,5–1,Sweden,"NRG Stadium, Houston"
Tunisia,0–4,Japan,"Estadio BBVA, Guadalupe"
"June 25, 2026",,,
Japan,1–1,Sweden,"AT&T Stadium, Arlington"
Tunisia,1–3,Netherlands,"Arrowhead Stadium, Kansas City"
