Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Germany,3,2,0,1,10,4,+6,6[a],Advance to knockout stage
2,Ivory Coast,3,2,0,1,4,2,+2,6[a],Advance to knockout stage
3,Ecuador,3,1,1,1,2,2,0,4,Advance to knockout stage
4,Curaçao,3,0,1,2,1,9,−8,1,
