Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Colombia,3,2,1,0,4,1,+3,7,Advance to knockout stage
2,Portugal,3,1,2,0,6,1,+5,5,Advance to knockout stage
3,DR Congo,3,1,1,1,4,3,+1,4,Advance to knockout stage
4,Uzbekistan,3,0,0,3,2,11,−9,0,
