player,team,team_country,position,primary_position,age,club,games,games_starts,minutes,goals,assists,shots,shots_on_target,interceptions,tackles_won,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,goal_contribution_per90,player_rating_100,player_cluster
Jordan Pickford,England,England,GK,GK,32,Everton,7,7,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.476303630363034,
Thibaut Courtois,Belgium,Belgium,GK,GK,34,Real Madrid,6,6,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.88462046204619,
Nathan Saliba,Canada,Canada,MF,MF,22,Anderlecht,3,2,182.0,1.0,2.0,3.0,1.0,4.0,4.0,0.4945054945054945,0.989010989010989,1.4835164835164836,0.4945054945054945,1.978021978021978,1.978021978021978,1.4835164835164836,51.05295484894148,3.0
Bart Verbruggen,Netherlands,Netherlands,GK,GK,23,Brighton,4,4,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.297029702970285,
Cyle Larin,Canada,Canada,FW,FW,31,Mallorca,4,2,190.0,2.0,0.0,9.0,4.0,0.0,0.0,0.9473684210526315,0.0,4.2631578947368425,1.894736842105263,0.0,0.0,0.9473684210526315,50.195270785659794,1.0
Brian Brobbey,Netherlands,Netherlands,FW,FW,24,Sunderland,4,3,223.0,3.0,0.0,4.0,3.0,0.0,1.0,1.2107623318385652,0.0,1.6143497757847534,1.2107623318385652,0.0,0.40358744394618834,1.2107623318385652,49.922986937024774,1.0
Kim Seung-gyu,Korea Republic,Korea Republic,GK,GK,35,FC Tokyo,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.504950495049506,
Marvin Senaya,Ghana,Ghana,DF,DF,25,Auxerre,4,4,278.0,0.0,0.0,2.0,0.0,6.0,12.0,0.0,0.0,0.6474820143884893,0.0,1.9424460431654678,3.8848920863309355,0.0,49.00563465311667,0.0
Maxime Crépeau,Canada,Canada,GK,GK,32,Orlando City,5,5,450.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,49.003300330033,
Dominik Livaković,Croatia,Croatia,GK,GK,31,Dinamo Zagreb,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.81188118811881,
Lionel Mpasi,Congo DR,Congo DR,GK,GK,31,Le Havre,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.646864686468646,
Raúl Jiménez,Mexico,Mexico,FW,FW,35,Fulham,4,4,317.0,3.0,0.0,18.0,7.0,0.0,1.0,0.8517350157728707,0.0,5.110410094637224,1.9873817034700316,0.0,0.28391167192429023,0.8517350157728707,48.46454532985874,1.0
Jacob Widell Zetterström,Sweden,Sweden,GK,GK,27,Derby County,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.38283828382838,
