player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,fouls_per90_calc,crosses_per90_calc,goal_contribution_per90,primary_position,player_cluster
Cristian Romero,Argentina,Argentina,DF,28,1998,Tottenham,7,7,608.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,3.0,1.0,33.3,0.44,0.15,0.33,1.0,87.0,75.1,87.0,2,0,0.0,1,2.57,12.0,6.0,6.0,0.89,-1.34,0.0,9.0,3.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14802631578947367,0.0,0.444078947368421,0.14802631578947367,1.6282894736842106,1.4802631578947367,1.332236842105263,0.0,0.14802631578947367,DF,0
Enzo Fernández,Argentina,Argentina,MF,25,2001,Chelsea,7,7,659.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.27,0.0,0.27,0.27,0.27,12.0,4.0,33.3,1.64,0.55,0.17,0.5,94.0,81.4,94.0,5,0,0.0,1,2.57,14.0,6.0,8.0,1.09,-0.7,1.0,12.0,6.0,1.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27314112291350534,0.0,1.6388467374810318,0.5462822458270107,0.8194233687405159,0.9559939301972686,1.6388467374810318,0.6828528072837633,0.27314112291350534,MF,2
Facundo Medina,Argentina,Argentina,DF,27,1999,Marseille,5,3,308.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,38.0,85.0,1,2,26.0,3,2.4,5.0,2.0,3.0,0.88,-0.56,0.0,3.0,2.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29220779220779225,0.0,0.0,0.5844155844155845,2.0454545454545454,0.8766233766233766,0.29220779220779225,0.29220779220779225,DF,0
Giuliano Simeone,Argentina,Argentina,FW,23,2002,Atlético Madrid,3,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.0,0.0,0.0,64.0,23.7,71.0,0,1,51.0,5,2.0,2.0,3.0,-1.0,-0.47,-2.22,0.0,9.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.0,0.46875,1.40625,4.21875,0.9375,0.0,FW,2
Gonzalo Montiel,Argentina,Argentina,DF,29,1997,River Plate,6,2,192.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.47,0.0,0.47,1.0,0.0,0.0,0.47,0.0,0.0,0.0,32.0,23.7,51.0,0,4,23.0,2,2.5,9.0,0.0,9.0,4.22,3.93,0.0,4.0,2.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.46875,0.0,1.40625,1.40625,1.875,1.875,0.46875,DF,3
Julián Álvarez,Argentina,Argentina,FW,26,2000,Atlético Madrid,8,5,602.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,11.0,5.0,45.5,1.64,0.75,0.09,0.2,75.0,74.3,96.0,2,3,40.0,0,2.63,15.0,6.0,9.0,1.35,0.48,0.0,11.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14950166112956811,0.0,1.6445182724252494,0.7475083056478405,0.4485049833887043,0.5980066445182725,1.6445182724252494,0.29900332225913623,0.14950166112956811,FW,2
Lautaro Martínez,Argentina,Argentina,FW,28,1997,Inter,7,4,310.0,3.4,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.87,0.29,1.16,0.58,0.87,10.0,4.0,40.0,2.9,1.16,0.2,0.5,44.0,38.3,60.0,0,3,24.0,1,3.0,12.0,3.0,9.0,2.61,2.25,0.0,8.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709677419354839,0.2903225806451613,2.903225806451613,1.1612903225806452,0.2903225806451613,0.2903225806451613,2.3225806451612905,0.2903225806451613,1.1612903225806452,FW,1
Leandro Paredes,Argentina,Argentina,MF,31,1994,Boca Juniors,7,4,473.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.76,0.19,0.0,0.0,68.0,58.4,88.0,2,3,40.0,1,2.57,10.0,7.0,3.0,0.57,-1.57,0.0,9.0,3.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7610993657505286,0.19027484143763215,0.9513742071881607,1.1416490486257929,1.7124735729386893,0.3805496828752643,0.0,MF,2
Lionel Messi,Argentina,Argentina,FW,38,1987,Inter Miami,8,7,740.0,8.2,8.0,4.0,12.0,8.0,0.0,2.0,0.0,0.0,0.97,0.49,1.46,0.97,1.46,35.0,18.0,51.4,4.26,2.19,0.23,0.44,93.0,91.4,101.0,6,1,31.0,0,2.63,17.0,7.0,10.0,1.22,-0.07,0.0,3.0,20.0,5.0,54.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.4864864864864865,4.256756756756757,2.1891891891891895,0.0,1.2162162162162162,0.3648648648648649,6.5675675675675675,1.4594594594594597,FW,1
Lisandro Martínez,Argentina,Argentina,DF,28,1998,Manchester Utd,7,7,624.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.14,0.14,0.29,0.14,0.29,4.0,2.0,50.0,0.58,0.29,0.25,0.5,89.0,77.0,89.0,5,0,0.0,1,2.57,14.0,6.0,8.0,1.15,-0.3,0.0,7.0,4.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14423076923076922,0.14423076923076922,0.5769230769230769,0.28846153846153844,0.8653846153846154,1.0096153846153846,1.0096153846153846,0.28846153846153844,0.28846153846153844,DF,2
