player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,fouls_per90_calc,crosses_per90_calc,goal_contribution_per90,primary_position,player_cluster
Aaron Wan-Bissaka,Congo DR,Congo DR,DF,28,1997,West Ham,4,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,98.3,89.0,3,0,0.0,0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7796610169491527,1.0169491525423728,0.2542372881355932,1.5254237288135593,0.0,DF,0
Arthur Masuaku,Congo DR,Congo DR,DF,32,1993,Lens,4,4,315.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,87.5,79.0,0,0,0.0,0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1.4285714285714284,0.0,3.428571428571429,0.2857142857142857,DF,3
Axel Tuanzebe,Congo DR,Congo DR,DF,28,1997,Burnley,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,0.0,DF,2
Chancel Mbemba,Congo DR,Congo DR,DF,31,1994,Lille,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.75,0.25,1.0,0.25,DF,2
Cédric Bakambu,Congo DR,Congo DR,FW,35,1991,Real Betis,3,3,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.42,0.0,0.0,0.0,63.0,52.8,63.0,0,0,0.0,1,1.33,1.0,2.0,-1.0,-0.47,-1.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210526315789473,0.0,0.0,0.0,0.9473684210526315,0.47368421052631576,0.0,FW,2
Ngal'Ayel Mukau,Congo DR,Congo DR,MF,21,2004,Lille,4,3,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46,0.0,0.0,0.0,49.0,54.2,59.0,0,1,19.0,0,1.0,4.0,2.0,2.0,0.92,2.01,0.0,3.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,1.3846153846153846,0.9230769230769231,1.3846153846153846,0.0,0.0,MF,0
Noah Sadiki,Congo DR,Congo DR,MF,21,2004,Sunderland,4,2,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,71.9,90.0,2,2,40.0,0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694980694980695,1.38996138996139,0.694980694980695,0.3474903474903475,0.0,MF,2
Samuel Moutoussamy,Congo DR,Congo DR,MF,29,1996,Atromitos,4,4,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.82,0.0,0.0,0.0,83.0,91.7,83.0,1,0,0.0,0,1.0,3.0,5.0,-2.0,-0.55,-6.55,0.0,8.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818181,0.0,0.2727272727272727,2.1818181818181817,2.1818181818181817,0.2727272727272727,0.0,MF,0
Steve Kapuadi,Congo DR,Congo DR,DF,28,1998,Widzew Łódź,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,90.0,50.0,90.0,2,0,0.0,2,0.5,1.0,2.0,-1.0,-0.5,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,DF,2
Yoane Wissa,Congo DR,Congo DR,FW,29,1996,Newcastle,4,4,360.0,4.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.75,0.0,0.75,0.5,0.5,11.0,3.0,27.3,2.75,0.75,0.18,0.67,90.0,100.0,90.0,4,0,0.0,0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,2.75,0.75,0.0,0.25,1.25,0.0,0.75,FW,1
Ivan Perišić,Croatia,Croatia,"MF,DF",37,1989,PSV,4,4,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.25,0.25,0.5,0.25,0.5,2.0,2.0,100.0,0.5,0.5,0.5,0.5,90.0,100.0,90.0,4,0,0.0,0,1.5,6.0,7.0,-1.0,-0.25,0.0,0.0,4.0,1.0,0.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,1.0,1.0,1.0,5.0,0.5,DF,3
Josip Stanišić,Croatia,Croatia,"DF,MF",26,2000,Bayern Munich,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.5,6.0,7.0,-1.0,-0.25,0.0,0.0,0.0,4.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.25,0.5,0.0,1.75,0.25,DF,2
Josip Šutalo,Croatia,Croatia,DF,26,2000,Ajax,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.5,6.0,7.0,-1.0,-0.25,0.0,0.0,2.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.5,1.0,0.5,0.0,0.0,DF,0
Luka Modrić,Croatia,Croatia,MF,40,1985,Milan,4,4,317.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.28,0.0,0.28,1.0,0.0,0.0,0.28,0.0,0.0,0.0,79.0,88.1,79.0,2,0,0.0,0,1.5,6.0,6.0,0.0,0.0,2.09,0.0,4.0,3.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28391167192429023,0.28391167192429023,0.0,0.0,0.8517350157728707,1.135646687697161,3.1230283911671926,0.28391167192429023,MF,3
Marin Pongračić,Croatia,Croatia,DF,28,1997,Fiorentina,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,90.0,75.0,90.0,3,0,0.0,1,2.0,4.0,3.0,1.0,0.33,2.33,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,1.0,1.0,0.0,0.0,DF,2
Martin Baturina,Croatia,Croatia,"MF,FW",23,2003,Como,4,4,321.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,3.0,1.0,33.3,0.84,0.28,0.33,1.0,80.0,89.2,80.0,1,0,0.0,0,1.5,6.0,5.0,1.0,0.28,4.9,0.0,1.0,14.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2803738317757009,0.0,0.8411214953271028,0.2803738317757009,0.2803738317757009,0.5607476635514018,0.2803738317757009,2.2429906542056073,0.2803738317757009,MF,2
Mateo Kovačić,Croatia,Croatia,MF,32,1994,Manchester City,4,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,5.0,4.0,80.0,1.67,1.33,0.0,0.0,68.0,75.0,79.0,0,1,33.0,0,1.5,3.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,1.6666666666666665,1.3333333333333335,0.6666666666666667,1.0,1.0,0.0,0.33333333333333337,MF,3
Nikola Vlašić,Croatia,Croatia,MF,28,1997,Torino,3,2,189.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,3.0,1.0,33.3,1.43,0.48,0.33,1.0,63.0,52.5,88.0,0,1,13.0,1,1.0,3.0,3.0,0.0,0.0,0.53,0.0,5.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,1.4285714285714284,0.47619047619047616,0.47619047619047616,0.9523809523809523,2.380952380952381,1.4285714285714284,0.47619047619047616,MF,2
Petar Sučić,Croatia,Croatia,"MF,FW",22,2003,Inter,4,3,289.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.31,0.31,0.62,0.31,0.62,3.0,2.0,66.7,0.93,0.62,0.33,0.5,72.0,80.3,90.0,3,1,19.0,0,1.5,5.0,7.0,-2.0,-0.62,-1.89,0.0,7.0,6.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31141868512110726,0.31141868512110726,0.9342560553633218,0.6228373702422145,0.31141868512110726,0.6228373702422145,2.179930795847751,1.245674740484429,0.6228373702422145,MF,3
Armando Obispo,Curaçao,Curaçao,DF,27,1999,PSV,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,3,0,0.0,0,0.33,1.0,9.0,-8.0,-2.67,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.33333333333333337,0.33333333333333337,0.0,0.0,DF,0
Deveron Fonville,Curaçao,Curaçao,DF,23,2003,NEC Nijmegen,3,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,89.3,80.0,1,0,0.0,0,0.33,1.0,9.0,-8.0,-2.99,-2.99,0.0,2.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8672199170124482,1.120331950207469,0.7468879668049793,0.0,0.0,DF,0
Juninho Bacuna,Curaçao,Curaçao,MF,28,1997,Volendam,3,3,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,1.77,0.35,0.0,0.0,85.0,94.1,85.0,2,0,0.0,0,0.33,1.0,9.0,-8.0,-2.83,-2.83,0.0,6.0,3.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7716535433070866,0.3543307086614173,1.7716535433070866,1.4173228346456692,2.1259842519685037,1.7716535433070866,0.0,MF,0
Jürgen Locadia,Curaçao,Curaçao,FW,32,1993,Miami FC,3,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.0,0.0,0.0,78.0,87.0,78.0,0,0,0.0,0,0.33,1.0,6.0,-5.0,-1.91,5.8,0.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3829787234042553,0.0,0.3829787234042553,0.0,1.1489361702127658,0.0,0.0,FW,2
Leandro Bacuna,Curaçao,Curaçao,MF,34,1991,Unknown Club,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,2.0,0.33,0.0,0.0,90.0,100.0,90.0,3,0,0.0,0,0.33,1.0,9.0,-8.0,-2.67,0.0,0.0,3.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33333333333333337,0.0,1.0,1.0,1.3333333333333335,0.0,MF,2
Livano Comenencia,Curaçao,Curaçao,MF,22,2004,Zürich,3,3,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.39,0.0,0.39,0.39,0.39,5.0,2.0,40.0,1.93,0.77,0.2,0.5,78.0,86.3,78.0,1,0,0.0,0,0.33,1.0,8.0,-7.0,-2.7,-0.27,0.0,4.0,1.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38626609442060084,0.0,1.9313304721030042,0.7725321888412017,4.24892703862661,0.38626609442060084,1.5450643776824033,0.38626609442060084,0.38626609442060084,MF,0
Sherel Floranus,Curaçao,Curaçao,DF,27,1998,Zwolle,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,0.0,90.0,100.0,90.0,3,0,0.0,0,0.33,1.0,9.0,-8.0,-2.67,0.0,0.0,2.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,1.3333333333333335,2.0,0.6666666666666667,0.0,0.0,DF,0
Tahith Chong,Curaçao,Curaçao,MF,26,1999,Sheffield United,3,3,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,1.46,0.73,0.0,0.0,82.0,91.5,82.0,1,0,0.0,0,0.33,1.0,8.0,-7.0,-2.55,1.36,0.0,3.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45748987854251,0.728744939271255,0.3643724696356275,0.0,1.0931174089068827,0.3643724696356275,0.0,MF,2
Ladislav Krejčí,Czechia,Czech Republic,DF,27,1999,Wolves,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,5.0,1.0,20.0,1.67,0.33,0.2,1.0,90.0,100.0,90.0,3,0,0.0,0,0.33,2.0,6.0,-4.0,-1.33,0.0,0.0,6.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,1.6666666666666665,0.33333333333333337,0.33333333333333337,1.0,2.0,0.6666666666666667,0.33333333333333337,DF,2
Michal Sadílek,Czechia,Czech Republic,MF,27,1999,Slavia Prague,3,2,183.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,7.0,3.0,42.9,3.44,1.48,0.14,0.33,61.0,67.8,78.0,1,1,27.0,0,0.33,1.0,5.0,-4.0,-1.97,-1.97,0.0,0.0,3.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918032786885246,0.0,3.4426229508196724,1.4754098360655739,0.9836065573770492,0.9836065573770492,0.0,5.901639344262295,0.4918032786885246,MF,1
Patrik Schick,Czechia,Czech Republic,FW,30,1996,Leverkusen,3,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.5,0.0,0.0,60.0,66.7,77.0,1,1,27.0,0,0.33,2.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,FW,2
Pavel Šulc,Czechia,Czech Republic,FW,25,2000,Lyon,3,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.95,0.0,0.0,0.0,63.0,70.0,77.0,1,1,36.0,0,0.33,1.0,4.0,-3.0,-1.43,-0.32,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.9523809523809523,0.9523809523809523,0.47619047619047616,0.0,FW,2
Robin Hranáč,Czechia,Czech Republic,DF,26,2000,Hoffenheim,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,3,0,0.0,0,0.33,2.0,6.0,-4.0,-1.33,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,2.0,0.33333333333333337,0.0,DF,2
Vladimír Coufal,Czechia,Czech Republic,"MF,DF",33,1992,Hoffenheim,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,1.0,0.0,0.0,0.33,0.0,0.0,0.0,90.0,100.0,90.0,3,0,0.0,0,0.33,2.0,6.0,-4.0,-1.33,0.0,0.0,4.0,3.0,1.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666667,0.33333333333333337,1.3333333333333335,6.666666666666666,0.33333333333333337,DF,3
Amad Diallo,Côte d'Ivoire,Côte d'Ivoire,"MF,FW",23,2002,Manchester Utd,4,2,185.0,2.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.97,0.0,0.97,0.97,0.97,8.0,4.0,50.0,3.89,1.95,0.25,0.5,46.0,51.4,60.0,0,2,33.0,0,1.5,4.0,2.0,2.0,0.97,1.49,0.0,0.0,2.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,3.891891891891892,1.945945945945946,0.972972972972973,1.945945945945946,0.0,1.945945945945946,0.972972972972973,MF,1
Ange-Yoan Bonny,Côte d'Ivoire,Côte d'Ivoire,FW,22,2003,Inter,4,3,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.38,0.38,0.0,0.0,59.0,65.0,66.0,0,1,35.0,0,1.5,4.0,2.0,2.0,0.77,1.48,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.7692307692307693,0.38461538461538464,0.38461538461538464,0.0,FW,2
Christ Inao Oulaï,Côte d'Ivoire,Côte d'Ivoire,MF,20,2006,Trabzonspor,4,2,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.87,0.0,0.0,0.0,52.0,57.8,75.0,1,2,30.0,0,1.5,3.0,3.0,0.0,0.0,-0.59,0.0,3.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8653846153846154,0.0,2.5961538461538463,1.7307692307692308,1.2980769230769231,0.0,0.0,MF,0
Emmanuel Agbadou,Côte d'Ivoire,Côte d'Ivoire,DF,28,1997,Beşiktaş,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.0,0.33,0.0,0.0,90.0,75.0,90.0,3,0,0.0,1,1.0,3.0,4.0,-1.0,-0.33,-2.33,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333333333333337,1.3333333333333335,2.0,0.0,0.0,0.0,DF,0
Franck Kessié,Côte d'Ivoire,Côte d'Ivoire,MF,29,1996,Al-Ahli,4,4,346.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.26,0.0,0.26,0.26,0.26,4.0,2.0,50.0,1.04,0.52,0.25,0.5,87.0,96.1,87.0,3,0,0.0,0,1.5,5.0,4.0,1.0,0.26,0.26,0.0,7.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26011560693641617,0.0,1.0404624277456647,0.5202312138728323,0.0,1.0404624277456647,1.8208092485549132,0.5202312138728323,0.26011560693641617,MF,2
Ghislain Konan,Côte d'Ivoire,Côte d'Ivoire,DF,30,1995,Gil Vicente FC,3,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.34,0.0,0.0,0.0,90.0,74.7,90.0,2,0,0.0,1,1.0,3.0,4.0,-1.0,-0.33,-2.31,0.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3382899628252787,0.0,0.0,1.003717472118959,0.0,2.6765799256505574,0.0,DF,2
