player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,goals_per90_calc,assists_per90_calc,shots_per90_calc,shots_on_target_per90_calc,interceptions_per90_calc,tackles_won_per90_calc,fouls_per90_calc,crosses_per90_calc,goal_contribution_per90,primary_position,goal_score,assist_score,shot_score,interception_score,tackle_score,player_rating,player_rating_100
Nathan Saliba,Canada,Canada,MF,22,2004,Anderlecht,3,2,182.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.49,0.99,1.48,0.49,1.48,3.0,1.0,33.3,1.48,0.49,0.33,1.0,61.0,40.4,74.0,1,1,34.0,2,2.0,4.0,2.0,2.0,0.99,0.65,0.0,5.0,2.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4945054945054945,0.989010989010989,1.4835164835164836,0.4945054945054945,1.978021978021978,1.978021978021978,2.4725274725274726,0.989010989010989,1.4835164835164836,MF,0.3644688644688645,0.9230769230769231,0.1660296225513617,0.46553446553446554,0.4801352493660186,0.5105295484894148,51.05295484894148
Marvin Senaya,Ghana,Ghana,DF,25,2001,Auxerre,4,4,278.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.65,0.0,0.0,0.0,70.0,77.2,70.0,2,0,0.0,0,1.0,2.0,2.0,0.0,0.0,1.1,0.0,6.0,4.0,0.0,8.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6474820143884893,0.0,1.9424460431654678,3.8848920863309355,1.9424460431654678,2.589928057553957,0.0,DF,0.0,0.0,0.0,0.4571615434924788,0.942999446596569,0.4900563465311667,49.00563465311667
Rayan Aït-Nouri,Algeria,Algeria,DF,25,2001,Manchester City,4,3,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,0.0,71.0,78.9,88.0,2,1,20.0,0,1.0,3.0,7.0,-4.0,-1.27,-1.27,0.0,6.0,4.0,0.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31690140845070425,0.0,1.5845070422535212,4.119718309859155,1.9014084507042253,2.535211267605634,0.0,DF,0.0,0.0,0.0,0.37291933418693984,1.0,0.4805217669654289,48.052176696542894
Bukayo Saka,England,England,MF,24,2001,Arsenal,7,3,358.0,4.0,3.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,0.75,0.75,1.51,0.5,1.26,13.0,7.0,53.8,3.27,1.76,0.15,0.29,51.0,47.7,69.0,1,4,38.0,1,2.71,13.0,5.0,8.0,2.01,2.01,0.0,4.0,9.0,4.0,21.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7541899441340782,0.7541899441340782,3.2681564245810057,1.7597765363128492,0.25139664804469275,1.7597765363128492,1.005586592178771,5.279329608938547,1.5083798882681565,MF,0.5558659217877095,0.7039106145251397,0.5908428467330581,0.059167089893346875,0.4271594327460249,0.43262122259571867,43.26212225957187
Merchas Doski,Iraq,Iraq,DF,26,1999,Viktoria Plzeň,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,90.0,100.0,90.0,3,0,0.0,0,0.0,1.0,12.0,-11.0,-3.67,0.0,0.0,3.0,8.0,0.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,2.0,3.0,1.0,1.3333333333333335,0.0,DF,0.0,0.0,0.0,0.4707070707070707,0.7282051282051282,0.41961926961926954,41.961926961926956
Johan Manzambi,Switzerland,Switzerland,"MF,FW",20,2005,Freiburg,4,2,199.0,2.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.36,0.9,2.26,1.36,2.26,6.0,3.0,50.0,2.71,1.36,0.5,1.0,50.0,33.2,77.0,0,2,23.0,0,2.5,8.0,3.0,5.0,2.26,2.49,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3567839195979898,0.9045226130653267,2.7135678391959797,1.3567839195979898,0.0,0.0,1.3567839195979898,1.3567839195979898,2.2613065326633164,MF,1.0,0.8442211055276383,0.45553856237710283,0.0,0.0,0.41439807734323797,41.4398077343238
Khuliso Mudau,South Africa,South Africa,DF,31,1995,Sundowns,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,90.0,4,0,0.0,0,1.0,2.0,4.0,-2.0,-0.5,0.0,0.0,4.0,10.0,1.0,3.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,2.0,1.0,0.75,0.0,DF,0.0,0.0,0.0,0.6472222222222223,0.48547008547008547,0.3964423076923077,39.644230769230774
Amad Diallo,Côte d'Ivoire,Côte d'Ivoire,"MF,FW",23,2002,Manchester Utd,4,2,185.0,2.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.97,0.0,0.97,0.97,0.97,8.0,4.0,50.0,3.89,1.95,0.25,0.5,46.0,51.4,60.0,0,2,33.0,0,1.5,4.0,2.0,2.0,0.97,1.49,0.0,0.0,2.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,3.891891891891892,1.945945945945946,0.972972972972973,1.945945945945946,0.0,1.945945945945946,0.972972972972973,MF,0.7171171171171172,0.0,0.6533490011750881,0.228992628992629,0.4723492723492724,0.3840937988764076,38.40937988764076
Mohamed Amine Ben Hamida,Tunisia,Tunisia,DF,30,1995,Unknown Club,3,2,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,74.8,79.0,1,1,45.0,0,0.0,2.0,10.0,-8.0,-3.56,-0.92,0.0,3.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44554455445544555,4.00990099009901,1.3366336633663365,0.44554455445544555,0.0,DF,0.0,0.0,0.0,0.10486048604860486,0.9733434881949733,0.3773713909852523,37.73713909852523
Felix Nmecha,Germany,Germany,MF,25,2000,Dortmund,4,4,270.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.67,0.33,0.67,8.0,3.0,37.5,2.67,1.0,0.13,0.33,68.0,69.2,68.0,1,0,0.0,0,1.75,8.0,4.0,4.0,1.33,-0.17,0.0,3.0,3.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,2.666666666666667,1.0,0.6666666666666667,3.0,1.0,0.6666666666666667,0.6666666666666667,MF,0.24567901234567907,0.31111111111111117,0.3357487922705314,0.1569023569023569,0.7282051282051282,0.3662097751952824,36.62097751952824
