player,team,primary_position,minutes,goals,assists,player_rating_100
Mohanad Lasheen,Egypt,MF,359.0,0.0,0.0,28.534974774529093
Juan Cáceres,Paraguay,DF,436.0,0.0,0.0,28.485691113832317
Edson Álvarez,Mexico,DF,240.0,0.0,0.0,28.382430069930066
Nikola Vasilj,Bosnia–Herz,GK,360.0,0.0,0.0,28.316831683168314
Ibrahim Sangaré,Côte d'Ivoire,MF,268.0,0.0,1.0,28.313589395678946
Bruno Guimarães,Brazil,MF,416.0,0.0,4.0,28.029715894473423
Martin Expérience,Haiti,DF,270.0,0.0,0.0,27.97461797461797
Sherel Floranus,Curaçao,DF,270.0,0.0,0.0,27.97461797461797
Gonzalo Montiel,Argentina,DF,192.0,0.0,1.0,27.9059222027972
Cristian Romero,Argentina,DF,608.0,1.0,0.0,27.576745217978054
Aymen Dahmen,Tunisia,GK,180.0,0.0,0.0,27.52475247524752
Paul Okon-Engstler,Australia,MF,197.0,0.0,1.0,27.51286784281708
Julian Ryerson,Norway,DF,223.0,0.0,0.0,27.430148327009313
Douglas Santos,Brazil,DF,441.0,0.0,0.0,27.42479742479742
Anthony Gordon,England,MF,396.0,1.0,3.0,27.278939951864857
Ramy Bensebaini,Algeria,DF,360.0,0.0,0.0,27.15899378399378
Gideon Mensah,Ghana,DF,360.0,0.0,0.0,27.09440559440559
Ruben Vargas,Switzerland,MF,284.0,2.0,1.0,27.089533756710736
Andrés Cubas,Paraguay,MF,480.0,0.0,0.0,26.927083333333336
Florian Wirtz,Germany,MF,361.0,0.0,3.0,26.809384761932037
Saeid Ezatolahi,IR Iran,MF,264.0,0.0,0.0,26.67399711619079
Ahmed Fatouh,Egypt,DF,267.0,0.0,0.0,26.556948994662722
Diego Gómez,Paraguay,MF,304.0,0.0,0.0,26.456684762605814
Rustam Ashurmatov,Uzbekistan,DF,256.0,0.0,0.0,26.245219624125877
Omar Rekik,Tunisia,DF,180.0,1.0,0.0,26.215716248324945
Riyad Mahrez,Algeria,MF,262.0,2.0,1.0,26.18972602792716
Sebastian Berhalter,United States,MF,187.0,1.0,1.0,26.18971627458026
Nikola Katić,Bosnia–Herz,DF,317.0,0.0,0.0,26.165648231894284
Achraf Hakimi,Morocco,DF,570.0,1.0,2.0,26.149124585051357
Abbosbek Fayzullayev,Uzbekistan,MF,220.0,1.0,0.0,26.079468291918882
Ousmane Dembélé,France,MF,592.0,6.0,2.0,26.071025038416344
Júnior Alonso,Paraguay,DF,390.0,0.0,0.0,26.02350492317048
Timothy Castagne,Belgium,DF,478.0,0.0,1.0,25.994541205565397
Hwang In-beom,Korea Republic,MF,263.0,1.0,1.0,25.93727757887123
